Concept,Member,Member type,Sort Weight
2234d2e6-9c82-457c-84ad-23e30a251aa4,b95b991a-887a-42f9-914f-db0ea18b1e7f,concept-set,1
2234d2e6-9c82-457c-84ad-23e30a251aa4,eebf4cfb-5cf7-4efa-a860-993677d6cd31,concept-set,2
2234d2e6-9c82-457c-84ad-23e30a251aa4,a6e1be1a-226f-4f59-81f5-eea2ee1ac80d,concept-set,3
2234d2e6-9c82-457c-84ad-23e30a251aa4,55a3f38e-8758-483a-9a5f-d6273f5e6803,concept-set,4
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,5
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,6
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,7
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,8
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8aff9b4-1350-11df-a1f1-0026b9348838,concept-set,9
2234d2e6-9c82-457c-84ad-23e30a251aa4,8454e61e-0802-416a-9209-62d779d7e016,concept-set,10
2234d2e6-9c82-457c-84ad-23e30a251aa4,e012caff-01e4-49d3-b918-1b69cbda9306,concept-set,11
2234d2e6-9c82-457c-84ad-23e30a251aa4,21ca3adc-6217-44b5-8f4b-380fce2cc3f6,concept-set,12
2234d2e6-9c82-457c-84ad-23e30a251aa4,6b0c64cd-b206-4ac5-92e4-ecb5b34c7d28,concept-set,13
2234d2e6-9c82-457c-84ad-23e30a251aa4,0917834d-9fea-4ff7-b1b4-2b306ab1e7a3,concept-set,14
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,15
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,16
2234d2e6-9c82-457c-84ad-23e30a251aa4,5e4dc798-2cce-4a1a-97e9-bcf22d64b07c,concept-set,17
2234d2e6-9c82-457c-84ad-23e30a251aa4,23f710cc-7f9c-4255-9b6b-c3e240215dba,concept-set,18
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,19
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,20
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,21
2234d2e6-9c82-457c-84ad-23e30a251aa4,aaa420c8-5f0e-467f-af3f-49ed6d84752e,concept-set,22
2234d2e6-9c82-457c-84ad-23e30a251aa4,72809773-f6ca-4471-8161-fe84c49ea945,concept-set,23
2234d2e6-9c82-457c-84ad-23e30a251aa4,114f9886-ddaa-460e-b2c8-64404cba2d02,concept-set,24
2234d2e6-9c82-457c-84ad-23e30a251aa4,033215b6-e9b2-4c26-b59b-69634b634367,concept-set,25
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,26
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a65f12-1350-11df-a1f1-0026b9348838,concept-set,27
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a65d5a-1350-11df-a1f1-0026b9348838,concept-set,28
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a65e36-1350-11df-a1f1-0026b9348838,concept-set,29
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a65fee-1350-11df-a1f1-0026b9348838,concept-set,30
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a47ca6-1350-11df-a1f1-0026b9348838,concept-set,31
2234d2e6-9c82-457c-84ad-23e30a251aa4,b72fa772-19a9-4386-8185-6491ab97e97e,concept-set,32
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,33
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,34
2234d2e6-9c82-457c-84ad-23e30a251aa4,a8a007a2-1350-11df-a1f1-0026b9348838,concept-set,35
2234d2e6-9c82-457c-84ad-23e30a251aa4,5ba94f35-84a6-4b55-9d03-1f65d3f8d7b0,concept-set,36
2234d2e6-9c82-457c-84ad-23e30a251aa4,465941a9-ac10-4e81-ab36-1bf83eaf4ed8,concept-set,37
2234d2e6-9c82-457c-84ad-23e30a251aa4,c69e6dfd-7b03-40ae-a902-3cf72c79c136,concept-set,38
2234d2e6-9c82-457c-84ad-23e30a251aa4,f1c5abf6-4710-4ec7-8160-4b4adbf42c91,concept-set,39
2234d2e6-9c82-457c-84ad-23e30a251aa4,1215d4c3-b371-481f-9b77-d54e9eeed5f4,concept-set,40
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,41
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,42
