Concept,Member,Member type,Sort Weight
0cb778e1-aa83-456f-8099-6b241dbfd647,a898f50c-1350-11df-a1f1-0026b9348838,concept-set,1
0cb778e1-aa83-456f-8099-6b241dbfd647,a898b2ea-1350-11df-a1f1-0026b9348838,concept-set,2
0cb778e1-aa83-456f-8099-6b241dbfd647,cde31588-6c57-4260-adca-b13c3cfb82fe,concept-set,3
0cb778e1-aa83-456f-8099-6b241dbfd647,a8909524-1350-11df-a1f1-0026b9348838,concept-set,4
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945c7c-1350-11df-a1f1-0026b9348838,concept-set,5
0cb778e1-aa83-456f-8099-6b241dbfd647,c66b2f4c-87af-4de5-93a9-209141f167e4,concept-set,6
0cb778e1-aa83-456f-8099-6b241dbfd647,c6ff86c3-9592-4988-9dc8-e427218333bc,concept-set,7
0cb778e1-aa83-456f-8099-6b241dbfd647,a8909f56-1350-11df-a1f1-0026b9348838,concept-set,9
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945678-1350-11df-a1f1-0026b9348838,concept-set,10
0cb778e1-aa83-456f-8099-6b241dbfd647,00ed7062-a576-4749-9dcb-783840caddc1,concept-set,11
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945ba0-1350-11df-a1f1-0026b9348838,concept-set,12
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945d4e-1350-11df-a1f1-0026b9348838,concept-set,13
0cb778e1-aa83-456f-8099-6b241dbfd647,1b2dc83b-9abf-4494-b18e-2bfd76b5db4d,concept-set,14
0cb778e1-aa83-456f-8099-6b241dbfd647,a8999fb6-1350-11df-a1f1-0026b9348838,concept-set,15
0cb778e1-aa83-456f-8099-6b241dbfd647,a894590c-1350-11df-a1f1-0026b9348838,concept-set,16
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945754-1350-11df-a1f1-0026b9348838,concept-set,17
0cb778e1-aa83-456f-8099-6b241dbfd647,a8999dfe-1350-11df-a1f1-0026b9348838,concept-set,18
0cb778e1-aa83-456f-8099-6b241dbfd647,a8af7520-1350-11df-a1f1-0026b9348838,concept-set,19
0cb778e1-aa83-456f-8099-6b241dbfd647,00ed7062-a576-4749-9dcb-783840caddc1,concept-set,20
0cb778e1-aa83-456f-8099-6b241dbfd647,a89c7a4c-1350-11df-a1f1-0026b9348838,concept-set,21
0cb778e1-aa83-456f-8099-6b241dbfd647,a898e9e0-1350-11df-a1f1-0026b9348838,concept-set,22
0cb778e1-aa83-456f-8099-6b241dbfd647,b63a1374-6c74-4af1-8a1f-c403138e4389,concept-set,23
0cb778e1-aa83-456f-8099-6b241dbfd647,0f6343de-eb9b-404f-959c-def6ef394fde,concept-set,24
0cb778e1-aa83-456f-8099-6b241dbfd647,ff02d39c-3ccd-4cf8-b252-21658e32b21d,concept-set,25
0cb778e1-aa83-456f-8099-6b241dbfd647,76a01a3d-dc11-46a1-86ea-cbf08de5232c,concept-set,26
0cb778e1-aa83-456f-8099-6b241dbfd647,a8908a16-1350-11df-a1f1-0026b9348838,concept-set,27
0cb778e1-aa83-456f-8099-6b241dbfd647,a898418e-1350-11df-a1f1-0026b9348838,concept-set,28
0cb778e1-aa83-456f-8099-6b241dbfd647,a8b018fe-1350-11df-a1f1-0026b9348838,concept-set,29
0cb778e1-aa83-456f-8099-6b241dbfd647,09b4f7a6-d6b7-4d7e-a09d-47e2be77c150,concept-set,30
0cb778e1-aa83-456f-8099-6b241dbfd647,a8a8a66e-1350-11df-a1f1-0026b9348838,concept-set,32
0cb778e1-aa83-456f-8099-6b241dbfd647,aff79829-0533-4c41-b7f9-e20bb63de7d0,concept-set,33
0cb778e1-aa83-456f-8099-6b241dbfd647,9924eedc-88af-4252-8156-53317ff9c96e,concept-set,34
0cb778e1-aa83-456f-8099-6b241dbfd647,a8a47152-1350-11df-a1f1-0026b9348838,concept-set,35
0cb778e1-aa83-456f-8099-6b241dbfd647,a8981d8a-1350-11df-a1f1-0026b9348838,concept-set,36
0cb778e1-aa83-456f-8099-6b241dbfd647,a897e450-1350-11df-a1f1-0026b9348838,concept-set,37
0cb778e1-aa83-456f-8099-6b241dbfd647,a89c3834-1350-11df-a1f1-0026b9348838,concept-set,38
0cb778e1-aa83-456f-8099-6b241dbfd647,a8982550-1350-11df-a1f1-0026b9348838,concept-set,39
0cb778e1-aa83-456f-8099-6b241dbfd647,213f4732-4c7d-4ab6-b8f9-84715579e770,concept-set,41
0cb778e1-aa83-456f-8099-6b241dbfd647,18072b35-2890-4514-8891-0796af2912be,concept-set,42
0cb778e1-aa83-456f-8099-6b241dbfd647,d125d797-3c23-4856-8fc9-5482c16352ee,concept-set,43
