Concept,Member,Member type,Sort Weight
eef060d3-d503-4695-a9ba-47f5af44135b,369dd7ae-7d43-429e-b76e-bcf5baf4f4b2,concept-set,1
eef060d3-d503-4695-a9ba-47f5af44135b,c9337a50-074e-4deb-a100-e9da0598b72a,concept-set,2
eef060d3-d503-4695-a9ba-47f5af44135b,eaa5796d-0b1c-478b-8c9d-d23cf4c3bddc,concept-set,3
eef060d3-d503-4695-a9ba-47f5af44135b,4f344ae4-5817-4065-8c2a-e9f9f0b8560a,concept-set,4
eef060d3-d503-4695-a9ba-47f5af44135b,81aad3d5-0535-416a-a833-9079af068e3f,concept-set,5
eef060d3-d503-4695-a9ba-47f5af44135b,c3ed398c-eb30-43a4-8737-8ee3995daf7f,concept-set,6
eef060d3-d503-4695-a9ba-47f5af44135b,dd3aa98a-2230-4bfb-aabb-6be9a00ace87,concept-set,7
eef060d3-d503-4695-a9ba-47f5af44135b,d4d9c056-1a06-4a77-9a67-35ca2e9f98f5,concept-set,8
eef060d3-d503-4695-a9ba-47f5af44135b,a8a713f8-1350-11df-a1f1-0026b9348838,concept-set,9
eef060d3-d503-4695-a9ba-47f5af44135b,a6506baa-0b8e-49ff-9f65-37bf5716d08e,concept-set,10
eef060d3-d503-4695-a9ba-47f5af44135b,2faf20eb-2a94-4c91-86f6-c9e30aecff14,concept-set,11
eef060d3-d503-4695-a9ba-47f5af44135b,2bde812a-d990-4792-b651-f1a322433485,concept-set,12
eef060d3-d503-4695-a9ba-47f5af44135b,6297ed2a-c21e-4348-8315-d633065188d4,concept-set,13
eef060d3-d503-4695-a9ba-47f5af44135b,a747741e-562a-42bb-aa9c-bc2342cc5f42,concept-set,14
eef060d3-d503-4695-a9ba-47f5af44135b,11efa11d-16ed-48ba-baad-f9c09d710ae8,concept-set,15
eef060d3-d503-4695-a9ba-47f5af44135b,a89530d4-1350-11df-a1f1-0026b9348838,concept-set,16
eef060d3-d503-4695-a9ba-47f5af44135b,1aa0fb3b-9de8-42ca-83d9-e74e65572114,concept-set,17
eef060d3-d503-4695-a9ba-47f5af44135b,17112afe-7cb0-4ae7-b34b-da0edb4bedcd,concept-set,18
eef060d3-d503-4695-a9ba-47f5af44135b,d917de34-678b-451a-8a5e-af055ef5e72d,concept-set,19
eef060d3-d503-4695-a9ba-47f5af44135b,b651b323-1d64-4a9b-95ae-3712b4543d03,concept-set,20
eef060d3-d503-4695-a9ba-47f5af44135b,93e2f92d-5702-4580-b733-cfee1bfd131c,concept-set,21
eef060d3-d503-4695-a9ba-47f5af44135b,cff16470-b89b-46a2-9b2d-8c12de17dc3e,concept-set,22
eef060d3-d503-4695-a9ba-47f5af44135b,d0a09eb2-8fc7-42fc-bcc3-f8a6687e2a16,concept-set,23
eef060d3-d503-4695-a9ba-47f5af44135b,8705087f-58a5-4de4-9d69-68ade0e3c121,concept-set,24
eef060d3-d503-4695-a9ba-47f5af44135b,a8a0a612-1350-11df-a1f1-0026b9348838,concept-set,25
eef060d3-d503-4695-a9ba-47f5af44135b,a6c292c4-ea74-44b5-aa84-628369f5717f,concept-set,26
eef060d3-d503-4695-a9ba-47f5af44135b,3f1bcfdb-e5a6-4e92-bfac-83ed9b5c36c2,concept-set,27
eef060d3-d503-4695-a9ba-47f5af44135b,72b7b2dc-52ab-437c-9e9a-e65899a4c6ad,concept-set,28
