Uuid,Privilege name,Description,_order:1000
d63161ad-d763-4269-a503-8378af04bd31,O3 View Accounting Dashboard,Allows access to the Accounting page,
27e9310a-c388-4688-a8cf-931ee34cf109,O3 View Client Registry Dashboard,Allows access to client registry page,
26f9a7d6-7f16-485a-9f8e-45cf02a09048,O3 View Triage Dashboard,Allows access to triage dashboard,
17aad27b-2586-41b2-8def-66f367f5ca1d,O3 Clear Triage Queue,Allows clearing of triage queue,
7f574ef2-83a6-46e6-939b-cb8298007659,O3 View Appointments Dashboard,View Appointments Dashboard,
10816e08-36c5-4b62-a47f-e798cc14100f,O3 View Bookings Dashboard,View Bookings Dashboard,
20d07fa5-0db3-41db-955a-eeee03ee13cb,O3 View Pharmacy Dashboard,View Pharmacy Dashboard,
86617181-c1ae-4485-80a0-983cddce95fa,O3 View Radiology Dashboard,View Radiology Dashboard,
0e961210-09fe-4541-a361-53298833c3ce,O3 View Procedures Dashboard,View Procedures Dashboard,
2ce51709-9785-4bde-b4ca-d4de0a6f86be,O3 View Labs Dashboard,View Labs Dashboard,
b3dffc3b-0213-4394-b6be-cd301856d9a2,O3 View MNCH Dashboard,View MNCH Dashboard,
87f7a5b8-0920-4fa1-9d5a-8d700ff6c96d,O3 View Admissions Dashboard,View Admissions Dashboard,
8ed85c43-4f8b-43a4-86fa-5932ac0af15f,O3 View Reports Dashboard,View Reports Dashboard,
d5534493-90d7-4d64-9946-2b7073962591,O3 View Mortuary Dashboard,View Mortuary Dashboard,
6161171d-d25c-462c-afe4-70b699ad4369,O3 View Consultation Dashboard,View Consultation Dashboard,
a756e972-b502-4c58-a6a5-cb4819b3e893,O3 View Service Queue Admin Panel,View All Facility Service Queues,
47711349-58fc-432e-89fa-d41a7fe93d2d,O3 View HIE Health Worker Registry Details,View HIE Health Worker Details,
91ae58d8-6c9d-4ffc-a7bb-307cdf8ec93a,O3 View HIE Facility Registry Details,View HIE Facility Registry Details,
